Measure Names,Race,Sex,Year,Average Life Expectancy,Mortality
Life Expectancy,All Races,Both Sexes,2004,77.5,
Life Expectancy,All Races,Both Sexes,2005,77.6,
Life Expectancy,All Races,Both Sexes,2006,77.8,
Life Expectancy,All Races,Both Sexes,2007,78.1,
Life Expectancy,All Races,Both Sexes,2008,78.2,
Life Expectancy,All Races,Both Sexes,2009,78.5,
Life Expectancy,All Races,Both Sexes,2010,78.7,
Life Expectancy,All Races,Both Sexes,2011,78.7,
Life Expectancy,All Races,Both Sexes,2012,78.8,
Life Expectancy,All Races,Both Sexes,2013,78.8,
Life Expectancy,All Races,Female,1900,48.3,
Life Expectancy,All Races,Female,1901,50.6,
Life Expectancy,All Races,Female,1902,53.4,
Life Expectancy,All Races,Female,1903,52.0,
Life Expectancy,All Races,Female,1904,49.1,
Life Expectancy,All Races,Female,1905,50.2,
Life Expectancy,All Races,Female,1906,50.8,
Life Expectancy,All Races,Female,1907,49.9,
Life Expectancy,All Races,Female,1908,52.8,
Life Expectancy,All Races,Female,1909,53.8,
Life Expectancy,All Races,Female,1910,51.8,
Life Expectancy,All Races,Female,1911,54.4,
Life Expectancy,All Races,Female,1912,55.9,
Life Expectancy,All Races,Female,1913,55.0,
Life Expectancy,All Races,Female,1914,56.8,
Life Expectancy,All Races,Female,1915,56.8,
Life Expectancy,All Races,Female,1916,54.3,
Life Expectancy,All Races,Female,1917,54.0,
Life Expectancy,All Races,Female,1918,42.2,
Life Expectancy,All Races,Female,1919,56.0,
Life Expectancy,All Races,Female,1920,54.6,
Life Expectancy,All Races,Female,1921,61.8,
Life Expectancy,All Races,Female,1922,61.0,
Life Expectancy,All Races,Female,1923,58.5,
Life Expectancy,All Races,Female,1924,61.5,
Life Expectancy,All Races,Female,1925,60.6,
Life Expectancy,All Races,Female,1926,58.0,
Life Expectancy,All Races,Female,1927,62.1,
Life Expectancy,All Races,Female,1928,58.3,
Life Expectancy,All Races,Female,1929,58.7,
Life Expectancy,All Races,Female,1930,61.6,
Life Expectancy,All Races,Female,1931,63.1,
Life Expectancy,All Races,Female,1932,63.5,
Life Expectancy,All Races,Female,1933,65.1,
Life Expectancy,All Races,Female,1934,63.3,
Life Expectancy,All Races,Female,1935,63.9,
Life Expectancy,All Races,Female,1936,60.6,
Life Expectancy,All Races,Female,1937,62.4,
Life Expectancy,All Races,Female,1938,65.3,
Life Expectancy,All Races,Female,1939,65.4,
Life Expectancy,All Races,Female,1940,65.2,
Life Expectancy,All Races,Female,1941,66.8,
Life Expectancy,All Races,Female,1942,67.9,
Life Expectancy,All Races,Female,1943,64.4,
Life Expectancy,All Races,Female,1944,66.8,
Life Expectancy,All Races,Female,1945,67.9,
Life Expectancy,All Races,Female,1946,69.4,
Life Expectancy,All Races,Female,1947,69.7,
Life Expectancy,All Races,Female,1948,69.9,
Life Expectancy,All Races,Female,1949,70.7,
Life Expectancy,All Races,Female,1950,71.1,
Life Expectancy,All Races,Female,1951,71.4,
Life Expectancy,All Races,Female,1952,71.6,
Life Expectancy,All Races,Female,1953,72.0,
Life Expectancy,All Races,Female,1954,72.8,
Life Expectancy,All Races,Female,1955,72.8,
Life Expectancy,All Races,Female,1956,72.9,
Life Expectancy,All Races,Female,1957,72.7,
Life Expectancy,All Races,Female,1958,72.9,
Life Expectancy,All Races,Female,1959,73.2,
Life Expectancy,All Races,Female,1960,73.1,
Life Expectancy,All Races,Female,1961,73.6,
Life Expectancy,All Races,Female,1962,73.5,
Life Expectancy,All Races,Female,1963,73.4,
Life Expectancy,All Races,Female,1964,73.7,
Life Expectancy,All Races,Female,1965,73.8,
Life Expectancy,All Races,Female,1966,73.9,
Life Expectancy,All Races,Female,1967,74.3,
Life Expectancy,All Races,Female,1968,74.1,
Life Expectancy,All Races,Female,1969,74.4,
Life Expectancy,All Races,Female,1970,74.7,
Life Expectancy,All Races,Female,1971,75.0,
Life Expectancy,All Races,Female,1972,75.1,
Life Expectancy,All Races,Female,1973,75.3,
Life Expectancy,All Races,Female,1974,75.9,
Life Expectancy,All Races,Female,1975,76.6,
Life Expectancy,All Races,Female,1976,76.8,
Life Expectancy,All Races,Female,1977,77.2,
Life Expectancy,All Races,Female,1978,77.3,
Life Expectancy,All Races,Female,1979,77.8,
Life Expectancy,All Races,Female,1980,77.4,
Life Expectancy,All Races,Female,1981,77.8,
Life Expectancy,All Races,Female,1982,78.1,
Life Expectancy,All Races,Female,1983,78.1,
Life Expectancy,All Races,Female,1984,78.2,
Life Expectancy,All Races,Female,1985,78.2,
Life Expectancy,All Races,Female,1986,78.2,
Life Expectancy,All Races,Female,1987,78.3,
Life Expectancy,All Races,Female,1988,78.3,
Life Expectancy,All Races,Female,1989,78.5,
Life Expectancy,All Races,Female,1990,78.8,
Life Expectancy,All Races,Female,1991,78.9,
Life Expectancy,All Races,Female,1992,79.1,
Life Expectancy,All Races,Female,1993,78.8,
Life Expectancy,All Races,Female,1994,79.0,
Life Expectancy,All Races,Female,1995,78.9,
Life Expectancy,All Races,Female,1996,79.1,
Life Expectancy,All Races,Female,1997,79.4,
Life Expectancy,All Races,Female,1998,79.5,
Life Expectancy,All Races,Female,1999,79.4,
Life Expectancy,All Races,Female,2000,79.7,
Life Expectancy,All Races,Female,2001,79.5,
Life Expectancy,All Races,Female,2002,79.6,
Life Expectancy,All Races,Female,2003,79.7,
Life Expectancy,All Races,Female,2004,80.1,
Life Expectancy,All Races,Female,2005,80.1,
Life Expectancy,All Races,Female,2006,80.3,
Life Expectancy,All Races,Female,2007,80.6,
Life Expectancy,All Races,Female,2008,80.6,
Life Expectancy,All Races,Female,2009,80.9,
Life Expectancy,All Races,Female,2010,81.0,
Life Expectancy,All Races,Female,2011,81.1,
Life Expectancy,All Races,Female,2012,81.2,
Life Expectancy,All Races,Female,2013,81.2,
Life Expectancy,All Races,Male,1900,46.3,
Life Expectancy,All Races,Male,1901,47.6,
Life Expectancy,All Races,Male,1902,49.8,
Life Expectancy,All Races,Male,1903,49.1,
Life Expectancy,All Races,Male,1904,46.2,
Life Expectancy,All Races,Male,1905,47.3,
Life Expectancy,All Races,Male,1906,46.9,
Life Expectancy,All Races,Male,1907,45.6,
Life Expectancy,All Races,Male,1908,49.5,
Life Expectancy,All Races,Male,1909,50.5,
Life Expectancy,All Races,Male,1910,48.4,
Life Expectancy,All Races,Male,1911,50.9,
Life Expectancy,All Races,Male,1912,51.5,
Life Expectancy,All Races,Male,1913,50.3,
Life Expectancy,All Races,Male,1914,52.0,
Life Expectancy,All Races,Male,1915,52.5,
Life Expectancy,All Races,Male,1916,49.6,
Life Expectancy,All Races,Male,1917,48.4,
Life Expectancy,All Races,Male,1918,36.6,
Life Expectancy,All Races,Male,1919,53.5,
Life Expectancy,All Races,Male,1920,53.6,
Life Expectancy,All Races,Male,1921,60.0,
Life Expectancy,All Races,Male,1922,58.4,
Life Expectancy,All Races,Male,1923,56.1,
Life Expectancy,All Races,Male,1924,58.1,
Life Expectancy,All Races,Male,1925,57.6,
Life Expectancy,All Races,Male,1926,55.5,
Life Expectancy,All Races,Male,1927,59.0,
Life Expectancy,All Races,Male,1928,55.6,
Life Expectancy,All Races,Male,1929,55.8,
Life Expectancy,All Races,Male,1930,58.1,
Life Expectancy,All Races,Male,1931,59.4,
Life Expectancy,All Races,Male,1932,61.0,
Life Expectancy,All Races,Male,1933,61.7,
Life Expectancy,All Races,Male,1934,59.3,
Life Expectancy,All Races,Male,1935,59.9,
Life Expectancy,All Races,Male,1936,56.6,
Life Expectancy,All Races,Male,1937,58.0,
Life Expectancy,All Races,Male,1938,61.9,
Life Expectancy,All Races,Male,1939,62.1,
Life Expectancy,All Races,Male,1940,60.8,
Life Expectancy,All Races,Male,1941,63.1,
Life Expectancy,All Races,Male,1942,64.7,
Life Expectancy,All Races,Male,1943,62.4,
Life Expectancy,All Races,Male,1944,63.6,
Life Expectancy,All Races,Male,1945,63.6,
Life Expectancy,All Races,Male,1946,64.4,
Life Expectancy,All Races,Male,1947,64.4,
Life Expectancy,All Races,Male,1948,64.6,
Life Expectancy,All Races,Male,1949,65.2,
Life Expectancy,All Races,Male,1950,65.6,
Life Expectancy,All Races,Male,1951,65.6,
Life Expectancy,All Races,Male,1952,65.8,
Life Expectancy,All Races,Male,1953,66.0,
Life Expectancy,All Races,Male,1954,66.7,
Life Expectancy,All Races,Male,1955,66.7,
Life Expectancy,All Races,Male,1956,66.7,
Life Expectancy,All Races,Male,1957,66.4,
Life Expectancy,All Races,Male,1958,66.6,
Life Expectancy,All Races,Male,1959,66.8,
Life Expectancy,All Races,Male,1960,66.6,
Life Expectancy,All Races,Male,1961,67.1,
Life Expectancy,All Races,Male,1962,66.9,
Life Expectancy,All Races,Male,1963,66.6,
Life Expectancy,All Races,Male,1964,66.8,
Life Expectancy,All Races,Male,1965,66.8,
Life Expectancy,All Races,Male,1966,66.7,
Life Expectancy,All Races,Male,1967,67.0,
Life Expectancy,All Races,Male,1968,66.6,
Life Expectancy,All Races,Male,1969,66.8,
Life Expectancy,All Races,Male,1970,67.1,
Life Expectancy,All Races,Male,1971,67.4,
Life Expectancy,All Races,Male,1972,67.4,
Life Expectancy,All Races,Male,1973,67.6,
Life Expectancy,All Races,Male,1974,68.2,
Life Expectancy,All Races,Male,1975,68.8,
Life Expectancy,All Races,Male,1976,69.1,
Life Expectancy,All Races,Male,1977,69.5,
Life Expectancy,All Races,Male,1978,69.6,
Life Expectancy,All Races,Male,1979,70.0,
Life Expectancy,All Races,Male,1980,70.0,
Life Expectancy,All Races,Male,1981,70.4,
Life Expectancy,All Races,Male,1982,70.8,
Life Expectancy,All Races,Male,1983,71.0,
Life Expectancy,All Races,Male,1984,71.1,
Life Expectancy,All Races,Male,1985,71.1,
Life Expectancy,All Races,Male,1986,71.2,
Life Expectancy,All Races,Male,1987,71.4,
Life Expectancy,All Races,Male,1988,71.4,
Life Expectancy,All Races,Male,1989,71.7,
Life Expectancy,All Races,Male,1990,71.8,
Life Expectancy,All Races,Male,1991,72.0,
Life Expectancy,All Races,Male,1992,72.3,
Life Expectancy,All Races,Male,1993,72.2,
Life Expectancy,All Races,Male,1994,72.4,
Life Expectancy,All Races,Male,1995,72.5,
Life Expectancy,All Races,Male,1996,73.1,
Life Expectancy,All Races,Male,1997,73.6,
Life Expectancy,All Races,Male,1998,73.8,
Life Expectancy,All Races,Male,1999,73.9,
Life Expectancy,All Races,Male,2000,74.3,
Life Expectancy,All Races,Male,2001,74.3,
Life Expectancy,All Races,Male,2002,74.4,
Life Expectancy,All Races,Male,2003,74.5,
Life Expectancy,All Races,Male,2004,75.0,
Life Expectancy,All Races,Male,2005,75.0,
Life Expectancy,All Races,Male,2006,75.2,
Life Expectancy,All Races,Male,2007,75.5,
Life Expectancy,All Races,Male,2008,75.6,
Life Expectancy,All Races,Male,2009,76.0,
Life Expectancy,All Races,Male,2010,76.2,
Life Expectancy,All Races,Male,2011,76.3,
Life Expectancy,All Races,Male,2012,76.4,
Life Expectancy,All Races,Male,2013,76.4,
Life Expectancy,Black,Both Sexes,1900,33.0,
Life Expectancy,Black,Both Sexes,1901,33.7,
Life Expectancy,Black,Both Sexes,1902,34.6,
Life Expectancy,Black,Both Sexes,1903,33.1,
Life Expectancy,Black,Both Sexes,1904,30.8,
Life Expectancy,Black,Both Sexes,1905,31.3,
Life Expectancy,Black,Both Sexes,1906,32.9,
Life Expectancy,Black,Both Sexes,1907,32.5,
Life Expectancy,Black,Both Sexes,1908,34.9,
Life Expectancy,Black,Both Sexes,1909,35.7,
Life Expectancy,Black,Both Sexes,1910,35.6,
Life Expectancy,Black,Both Sexes,1911,36.4,
Life Expectancy,Black,Both Sexes,1912,37.9,
Life Expectancy,Black,Both Sexes,1913,38.4,
Life Expectancy,Black,Both Sexes,1914,38.9,
Life Expectancy,Black,Both Sexes,1915,38.9,
Life Expectancy,Black,Both Sexes,1916,41.3,
Life Expectancy,Black,Both Sexes,1917,38.8,
Life Expectancy,Black,Both Sexes,1918,31.1,
Life Expectancy,Black,Both Sexes,1919,44.5,
Life Expectancy,Black,Both Sexes,1920,45.3,
Life Expectancy,Black,Both Sexes,1921,51.5,
Life Expectancy,Black,Both Sexes,1922,52.4,
Life Expectancy,Black,Both Sexes,1923,48.3,
Life Expectancy,Black,Both Sexes,1924,46.6,
Life Expectancy,Black,Both Sexes,1925,45.7,
Life Expectancy,Black,Both Sexes,1926,44.6,
Life Expectancy,Black,Both Sexes,1927,48.2,
Life Expectancy,Black,Both Sexes,1928,46.3,
Life Expectancy,Black,Both Sexes,1929,46.7,
Life Expectancy,Black,Both Sexes,1930,48.1,
Life Expectancy,Black,Both Sexes,1931,50.4,
Life Expectancy,Black,Both Sexes,1932,53.7,
Life Expectancy,Black,Both Sexes,1933,54.7,
Life Expectancy,Black,Both Sexes,1934,51.8,
Life Expectancy,Black,Both Sexes,1935,53.1,
Life Expectancy,Black,Both Sexes,1936,49.0,
Life Expectancy,Black,Both Sexes,1937,50.3,
Life Expectancy,Black,Both Sexes,1938,52.9,
Life Expectancy,Black,Both Sexes,1939,54.5,
Life Expectancy,Black,Both Sexes,1940,53.1,
Life Expectancy,Black,Both Sexes,1941,53.8,
Life Expectancy,Black,Both Sexes,1942,56.6,
Life Expectancy,Black,Both Sexes,1943,55.6,
Life Expectancy,Black,Both Sexes,1944,56.6,
Life Expectancy,Black,Both Sexes,1945,57.7,
Life Expectancy,Black,Both Sexes,1946,59.1,
Life Expectancy,Black,Both Sexes,1947,59.7,
Life Expectancy,Black,Both Sexes,1948,60.0,
Life Expectancy,Black,Both Sexes,1949,60.6,
Life Expectancy,Black,Both Sexes,1950,60.8,
Life Expectancy,Black,Both Sexes,1951,61.2,
Life Expectancy,Black,Both Sexes,1952,61.4,
Life Expectancy,Black,Both Sexes,1953,62.0,
Life Expectancy,Black,Both Sexes,1954,63.4,
Life Expectancy,Black,Both Sexes,1955,63.7,
Life Expectancy,Black,Both Sexes,1956,63.6,
Life Expectancy,Black,Both Sexes,1957,63.0,
Life Expectancy,Black,Both Sexes,1958,63.4,
Life Expectancy,Black,Both Sexes,1959,63.9,
Life Expectancy,Black,Both Sexes,1960,63.6,
Life Expectancy,Black,Both Sexes,1961,64.5,
Life Expectancy,Black,Both Sexes,1962,64.2,
Life Expectancy,Black,Both Sexes,1963,63.7,
Life Expectancy,Black,Both Sexes,1964,64.2,
Life Expectancy,Black,Both Sexes,1965,64.3,
Life Expectancy,Black,Both Sexes,1966,64.2,
Life Expectancy,Black,Both Sexes,1967,64.9,
Life Expectancy,Black,Both Sexes,1968,64.1,
Life Expectancy,Black,Both Sexes,1969,64.5,
Life Expectancy,Black,Both Sexes,1970,64.1,
Life Expectancy,Black,Both Sexes,1971,64.6,
Life Expectancy,Black,Both Sexes,1972,64.7,
Life Expectancy,Black,Both Sexes,1973,65.0,
Life Expectancy,Black,Both Sexes,1974,66.0,
Life Expectancy,Black,Both Sexes,1975,66.8,
Life Expectancy,Black,Both Sexes,1976,67.2,
Life Expectancy,Black,Both Sexes,1977,67.7,
Life Expectancy,Black,Both Sexes,1978,68.1,
Life Expectancy,Black,Both Sexes,1979,68.5,
Life Expectancy,Black,Both Sexes,1980,68.1,
Life Expectancy,Black,Both Sexes,1981,68.9,
Life Expectancy,Black,Both Sexes,1982,69.4,
Life Expectancy,Black,Both Sexes,1983,69.4,
Life Expectancy,Black,Both Sexes,1984,69.5,
Life Expectancy,Black,Both Sexes,1985,69.3,
Life Expectancy,Black,Both Sexes,1986,69.1,
Life Expectancy,Black,Both Sexes,1987,69.1,
Life Expectancy,Black,Both Sexes,1988,68.9,
Life Expectancy,Black,Both Sexes,1989,68.8,
Life Expectancy,Black,Both Sexes,1990,69.1,
Life Expectancy,Black,Both Sexes,1991,69.3,
Life Expectancy,Black,Both Sexes,1992,69.6,
Life Expectancy,Black,Both Sexes,1993,69.2,
Life Expectancy,Black,Both Sexes,1994,69.5,
Life Expectancy,Black,Both Sexes,1995,69.6,
Life Expectancy,Black,Both Sexes,1996,70.2,
Life Expectancy,Black,Both Sexes,1997,71.1,
Life Expectancy,Black,Both Sexes,1998,71.3,
Life Expectancy,Black,Both Sexes,1999,71.4,
Life Expectancy,Black,Both Sexes,2000,71.8,
Life Expectancy,Black,Both Sexes,2001,72.0,
Life Expectancy,Black,Both Sexes,2002,72.2,
Life Expectancy,Black,Both Sexes,2003,72.4,
Life Expectancy,Black,Both Sexes,2004,72.9,
Life Expectancy,Black,Both Sexes,2005,73.0,
Life Expectancy,Black,Both Sexes,2006,73.4,
Life Expectancy,Black,Both Sexes,2007,73.8,
Life Expectancy,Black,Both Sexes,2008,74.3,
Life Expectancy,Black,Both Sexes,2009,74.7,
Life Expectancy,Black,Both Sexes,2010,75.1,
Life Expectancy,Black,Both Sexes,2011,75.3,
Life Expectancy,Black,Both Sexes,2012,75.5,
Life Expectancy,Black,Both Sexes,2013,75.5,
Life Expectancy,Black,Female,1900,33.5,
Life Expectancy,Black,Female,1901,35.3,
Life Expectancy,Black,Female,1902,36.4,
Life Expectancy,Black,Female,1903,34.6,
Life Expectancy,Black,Female,1904,32.7,
Life Expectancy,Black,Female,1905,33.1,
Life Expectancy,Black,Female,1906,33.9,
Life Expectancy,Black,Female,1907,34.0,
Life Expectancy,Black,Female,1908,36.0,
Life Expectancy,Black,Female,1909,37.3,
Life Expectancy,Black,Female,1910,37.5,
Life Expectancy,Black,Female,1911,38.2,
Life Expectancy,Black,Female,1912,40.0,
Life Expectancy,Black,Female,1913,40.3,
Life Expectancy,Black,Female,1914,40.8,
Life Expectancy,Black,Female,1915,40.5,
Life Expectancy,Black,Female,1916,43.1,
Life Expectancy,Black,Female,1917,40.8,
Life Expectancy,Black,Female,1918,32.5,
Life Expectancy,Black,Female,1919,44.4,
Life Expectancy,Black,Female,1920,45.2,
Life Expectancy,Black,Female,1921,51.3,
Life Expectancy,Black,Female,1922,53.0,
Life Expectancy,Black,Female,1923,48.9,
Life Expectancy,Black,Female,1924,47.8,
Life Expectancy,Black,Female,1925,46.7,
Life Expectancy,Black,Female,1926,45.6,
Life Expectancy,Black,Female,1927,48.9,
Life Expectancy,Black,Female,1928,47.0,
Life Expectancy,Black,Female,1929,47.8,
Life Expectancy,Black,Female,1930,49.2,
Life Expectancy,Black,Female,1931,51.5,
Life Expectancy,Black,Female,1932,54.6,
Life Expectancy,Black,Female,1933,56.0,
Life Expectancy,Black,Female,1934,53.7,
Life Expectancy,Black,Female,1935,55.2,
Life Expectancy,Black,Female,1936,51.4,
Life Expectancy,Black,Female,1937,52.5,
Life Expectancy,Black,Female,1938,54.3,
Life Expectancy,Black,Female,1939,56.0,
Life Expectancy,Black,Female,1940,54.9,
Life Expectancy,Black,Female,1941,55.3,
Life Expectancy,Black,Female,1942,58.2,
Life Expectancy,Black,Female,1943,56.1,
Life Expectancy,Black,Female,1944,57.7,
Life Expectancy,Black,Female,1945,59.6,
Life Expectancy,Black,Female,1946,61.0,
Life Expectancy,Black,Female,1947,61.9,
Life Expectancy,Black,Female,1948,62.5,
Life Expectancy,Black,Female,1949,62.7,
Life Expectancy,Black,Female,1950,62.9,
Life Expectancy,Black,Female,1951,63.4,
Life Expectancy,Black,Female,1952,63.8,
Life Expectancy,Black,Female,1953,64.5,
Life Expectancy,Black,Female,1954,65.9,
Life Expectancy,Black,Female,1955,66.1,
Life Expectancy,Black,Female,1956,66.1,
Life Expectancy,Black,Female,1957,65.5,
Life Expectancy,Black,Female,1958,65.8,
Life Expectancy,Black,Female,1959,66.5,
Life Expectancy,Black,Female,1960,66.3,
Life Expectancy,Black,Female,1961,67.1,
Life Expectancy,Black,Female,1962,66.9,
Life Expectancy,Black,Female,1963,66.6,
Life Expectancy,Black,Female,1964,67.3,
Life Expectancy,Black,Female,1965,67.6,
Life Expectancy,Black,Female,1966,67.6,
Life Expectancy,Black,Female,1967,68.5,
Life Expectancy,Black,Female,1968,67.9,
Life Expectancy,Black,Female,1969,68.6,
Life Expectancy,Black,Female,1970,68.3,
Life Expectancy,Black,Female,1971,68.9,
Life Expectancy,Black,Female,1972,69.1,
Life Expectancy,Black,Female,1973,69.3,
Life Expectancy,Black,Female,1974,70.3,
Life Expectancy,Black,Female,1975,71.3,
Life Expectancy,Black,Female,1976,71.6,
Life Expectancy,Black,Female,1977,72.0,
Life Expectancy,Black,Female,1978,72.4,
Life Expectancy,Black,Female,1979,72.9,
Life Expectancy,Black,Female,1980,72.5,
Life Expectancy,Black,Female,1981,73.2,
Life Expectancy,Black,Female,1982,73.6,
Life Expectancy,Black,Female,1983,73.5,
Life Expectancy,Black,Female,1984,73.6,
Life Expectancy,Black,Female,1985,73.4,
Life Expectancy,Black,Female,1986,73.4,
Life Expectancy,Black,Female,1987,73.4,
Life Expectancy,Black,Female,1988,73.2,
Life Expectancy,Black,Female,1989,73.3,
Life Expectancy,Black,Female,1990,73.6,
Life Expectancy,Black,Female,1991,73.8,
Life Expectancy,Black,Female,1992,73.9,
Life Expectancy,Black,Female,1993,73.7,
Life Expectancy,Black,Female,1994,73.9,
Life Expectancy,Black,Female,1995,73.9,
Life Expectancy,Black,Female,1996,74.2,
Life Expectancy,Black,Female,1997,74.7,
Life Expectancy,Black,Female,1998,74.8,
Life Expectancy,Black,Female,1999,74.7,
Life Expectancy,Black,Female,2000,75.1,
Life Expectancy,Black,Female,2001,75.3,
Life Expectancy,Black,Female,2002,75.4,
Life Expectancy,Black,Female,2003,75.7,
Life Expectancy,Black,Female,2004,76.1,
Life Expectancy,Black,Female,2005,76.2,
Life Expectancy,Black,Female,2006,76.7,
Life Expectancy,Black,Female,2007,77.0,
Life Expectancy,Black,Female,2008,77.3,
Life Expectancy,Black,Female,2009,77.7,
Life Expectancy,Black,Female,2010,78.0,
Life Expectancy,Black,Female,2011,78.2,
Life Expectancy,Black,Female,2012,78.4,
Life Expectancy,Black,Female,2013,78.4,
Life Expectancy,Black,Male,1900,32.5,
Life Expectancy,Black,Male,1901,32.2,
Life Expectancy,Black,Male,1902,32.9,
Life Expectancy,Black,Male,1903,31.7,
Life Expectancy,Black,Male,1904,29.1,
Life Expectancy,Black,Male,1905,29.6,
